osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","1368602341","house","","","{""building"":""house""}","POLYGON((-63.1872956 46.2468062,-63.1873992 46.2467485,-63.1874130 46.2467603,-63.1875165 46.2467025,-63.1873657 46.2465734,-63.1872678 46.2466281,-63.1873043 46.2466594,-63.1871953 46.2467203,-63.1872956 46.2468062))"
"way","1368602342","house","","","{""building"":""house""}","POLYGON((-63.1876101 46.2466334,-63.1877523 46.2464947,-63.1875873 46.2464138,-63.1874451 46.2465525,-63.1876101 46.2466334))"
"way","1368602343","house","","","{""building"":""house""}","POLYGON((-63.1878312 46.2460863,-63.1877980 46.2459369,-63.1876760 46.2459498,-63.1876887 46.2460074,-63.1875938 46.2460175,-63.1876142 46.2461093,-63.1878312 46.2460863))"
"way","1368602344","house","","","{""building"":""house""}","POLYGON((-63.1877534 46.2458448,-63.1876998 46.2457318,-63.1877199 46.2457272,-63.1876976 46.2456804,-63.1875178 46.2457212,-63.1875575 46.2458050,-63.1875316 46.2458109,-63.1875677 46.2458870,-63.1877534 46.2458448))"
"way","1368602348","house","","","{""building"":""house""}","POLYGON((-63.1870834 46.2463142,-63.1871085 46.2462149,-63.1871364 46.2462183,-63.1871554 46.2461427,-63.1871064 46.2461368,-63.1871107 46.2461200,-63.1869719 46.2461032,-63.1869234 46.2462949,-63.1870834 46.2463142))"
"way","1368602349","house","","","{""building"":""house""}","POLYGON((-63.1870554 46.2460266,-63.1869781 46.2458584,-63.1868073 46.2458959,-63.1868846 46.2460641,-63.1870554 46.2460266))"
"way","1368602350","house","","","{""building"":""house""}","POLYGON((-63.1869669 46.2458170,-63.1869302 46.2457406,-63.1869057 46.2457463,-63.1868601 46.2456515,-63.1866584 46.2456979,-63.1866846 46.2457524,-63.1867145 46.2457455,-63.1867706 46.2458621,-63.1869669 46.2458170))"
"way","1368602359","house","","","{""building"":""house""}","POLYGON((-63.1864314 46.2464086,-63.1863696 46.2462930,-63.1861457 46.2463503,-63.1862075 46.2464659,-63.1864314 46.2464086))"
"way","1368602360","house","","","{""building"":""house""}","POLYGON((-63.1861213 46.2464859,-63.1860472 46.2463425,-63.1858530 46.2463905,-63.1859072 46.2464953,-63.1859655 46.2464809,-63.1859724 46.2464944,-63.1860130 46.2464843,-63.1860260 46.2465095,-63.1861213 46.2464859))"
"way","1368602361","house","","","{""building"":""house""}","POLYGON((-63.1858407 46.2465479,-63.1857807 46.2464373,-63.1855451 46.2464984,-63.1856051 46.2466090,-63.1858407 46.2465479))"
"way","1368602362","house","","","{""building"":""house""}","POLYGON((-63.1855210 46.2466276,-63.1854552 46.2464846,-63.1852501 46.2465298,-63.1852978 46.2466336,-63.1853536 46.2466213,-63.1853611 46.2466377,-63.1853950 46.2466302,-63.1854055 46.2466530,-63.1855210 46.2466276))"
